name,meas_type,units,description
Elevation,quantitative,meters,Elevation in meters
Aspect,quantitative,azimuth,Aspect in degrees azimuth
Slope,quantitative,degrees,Slope in degrees
Horizontal_Distance_To_Hydrology,quantitative,meters,Horz Dist to nearest surface water features
Vertical_Distance_To_Hydrology,quantitative    ,meters,Vert Dist to nearest surface water features
Horizontal_Distance_To_Roadways,quantitative,meters,Horz Dist to nearest roadway
Hillshade_9am,quantitative,0 to 255 index,"Hillshade index at 9am, summer solstice"
Hillshade_Noon,quantitative,0 to 255 index,"Hillshade index at noon, summer soltice"
Hillshade_3pm,quantitative,0 to 255 index,"Hillshade index at 3pm, summer solstice"
Horizontal_Distance_To_Fire_Points,quantitative,meters,Vert Dist to nearest surface water features
Wilderness_Area_1,qualitative,class,Wilderness area designation
Wilderness_Area_2,qualitative,class,Wilderness area designation
Wilderness_Area_3,qualitative,class,Wilderness area designation
Wilderness_Area_4,qualitative,class,Wilderness area designation
Soil_Type_1,qualitative,class,Soil type designation
Soil_Type_2,qualitative,class,Soil type designation
Soil_Type_3,qualitative,class,Soil type designation
Soil_Type_4,qualitative,class,Soil type designation
Soil_Type_5,qualitative,class,Soil type designation
Soil_Type_6,qualitative,class,Soil type designation
Soil_Type_7,qualitative,class,Soil type designation
Soil_Type_8,qualitative,class,Soil type designation
Soil_Type_9,qualitative,class,Soil type designation
Soil_Type_10,qualitative,class,Soil type designation
Soil_Type_11,qualitative,class,Soil type designation
Soil_Type_12,qualitative,class,Soil type designation
Soil_Type_13,qualitative,class,Soil type designation
Soil_Type_14,qualitative,class,Soil type designation
Soil_Type_15,qualitative,class,Soil type designation
Soil_Type_16,qualitative,class,Soil type designation
Soil_Type_17,qualitative,class,Soil type designation
Soil_Type_18,qualitative,class,Soil type designation
Soil_Type_19,qualitative,class,Soil type designation
Soil_Type_20,qualitative,class,Soil type designation
Soil_Type_21,qualitative,class,Soil type designation
Soil_Type_22,qualitative,class,Soil type designation
Soil_Type_23,qualitative,class,Soil type designation
Soil_Type_24,qualitative,class,Soil type designation
Soil_Type_25,qualitative,class,Soil type designation
Soil_Type_26,qualitative,class,Soil type designation
Soil_Type_27,qualitative,class,Soil type designation
Soil_Type_28,qualitative,class,Soil type designation
Soil_Type_29,qualitative,class,Soil type designation
Soil_Type_30,qualitative,class,Soil type designation
Soil_Type_31,qualitative,class,Soil type designation
Soil_Type_32,qualitative,class,Soil type designation
Soil_Type_33,qualitative,class,Soil type designation
Soil_Type_34,qualitative,class,Soil type designation
Soil_Type_35,qualitative,class,Soil type designation
Soil_Type_36,qualitative,class,Soil type designation
Soil_Type_37,qualitative,class,Soil type designation
Soil_Type_38,qualitative,class,Soil type designation
Soil_Type_39,qualitative,class,Soil type designation
Soil_Type_40,qualitative,class,Soil type designation
Cover_Type,qualitative,class,Forest Cover Type Designation
